,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,New_Date
4232,Average Maximum Temperature,1981M07,Valentia Observatory,Degrees C,16.7,1981-07
4233,Average Maximum Temperature,1981M07,Casement,Degrees C,18.5,1981-07
4234,Average Maximum Temperature,1981M07,Claremorris,Degrees C,17.2,1981-07
4235,Average Maximum Temperature,1981M07,Clones,Degrees C,17.4,1981-07
4236,Average Maximum Temperature,1981M07,Cork Airport,Degrees C,18.4,1981-07
4237,Average Maximum Temperature,1981M07,Dublin Airport,Degrees C,18.3,1981-07
4238,Average Maximum Temperature,1981M07,Galway,Degrees C,16.9,1981-07
4239,Average Maximum Temperature,1981M07,Kilkenny,Degrees C,18.9,1981-07
4240,Average Maximum Temperature,1981M07,Malin Head,Degrees C,15.5,1981-07
4241,Average Maximum Temperature,1981M07,Mullingar,Degrees C,17.3,1981-07
4242,Average Maximum Temperature,1981M07,Roches Point,Degrees C,17.9,1981-07
4243,Average Maximum Temperature,1981M07,Rosslare,Degrees C,17.9,1981-07
4244,Average Maximum Temperature,1981M07,Shannon Airport,Degrees C,18.0,1981-07
4245,Average Maximum Temperature,1981M08,Belmullet,Degrees C,17.8,1981-08
4246,Average Maximum Temperature,1981M08,Birr,Degrees C,20.3,1981-08
4247,Average Maximum Temperature,1981M08,Valentia Observatory,Degrees C,19.2,1981-08
4248,Average Maximum Temperature,1981M08,Casement,Degrees C,20.6,1981-08
4249,Average Maximum Temperature,1981M08,Claremorris,Degrees C,19.4,1981-08
4250,Average Maximum Temperature,1981M08,Clones,Degrees C,19.1,1981-08
4251,Average Maximum Temperature,1981M08,Cork Airport,Degrees C,20.0,1981-08
4252,Average Maximum Temperature,1981M08,Dublin Airport,Degrees C,19.7,1981-08
4253,Average Maximum Temperature,1981M08,Galway,Degrees C,19.0,1981-08
4254,Average Maximum Temperature,1981M08,Kilkenny,Degrees C,21.3,1981-08
4255,Average Maximum Temperature,1981M08,Malin Head,Degrees C,16.8,1981-08
4256,Average Maximum Temperature,1981M08,Mullingar,Degrees C,19.4,1981-08
4257,Average Maximum Temperature,1981M08,Roches Point,Degrees C,19.4,1981-08
4258,Average Maximum Temperature,1981M08,Rosslare,Degrees C,19.0,1981-08
4259,Average Maximum Temperature,1981M08,Shannon Airport,Degrees C,20.7,1981-08
4260,Average Maximum Temperature,1981M09,Belmullet,Degrees C,16.8,1981-09
4261,Average Maximum Temperature,1981M09,Birr,Degrees C,17.5,1981-09
4262,Average Maximum Temperature,1981M09,Valentia Observatory,Degrees C,17.6,1981-09
4263,Average Maximum Temperature,1981M09,Casement,Degrees C,18.1,1981-09
4264,Average Maximum Temperature,1981M09,Claremorris,Degrees C,17.0,1981-09
4265,Average Maximum Temperature,1981M09,Clones,Degrees C,16.8,1981-09
4266,Average Maximum Temperature,1981M09,Cork Airport,Degrees C,16.7,1981-09
4267,Average Maximum Temperature,1981M09,Dublin Airport,Degrees C,17.8,1981-09
4268,Average Maximum Temperature,1981M09,Galway,Degrees C,17.1,1981-09
4269,Average Maximum Temperature,1981M09,Kilkenny,Degrees C,18.1,1981-09
4270,Average Maximum Temperature,1981M09,Malin Head,Degrees C,16.2,1981-09
4271,Average Maximum Temperature,1981M09,Mullingar,Degrees C,17.0,1981-09
4272,Average Maximum Temperature,1981M09,Roches Point,Degrees C,17.2,1981-09
4273,Average Maximum Temperature,1981M09,Rosslare,Degrees C,17.4,1981-09
4274,Average Maximum Temperature,1981M09,Shannon Airport,Degrees C,18.1,1981-09
4275,Average Maximum Temperature,1981M10,Belmullet,Degrees C,11.2,1981-10
4276,Average Maximum Temperature,1981M10,Birr,Degrees C,11.0,1981-10
4277,Average Maximum Temperature,1981M10,Valentia Observatory,Degrees C,11.9,1981-10
4278,Average Maximum Temperature,1981M10,Casement,Degrees C,11.0,1981-10
4279,Average Maximum Temperature,1981M10,Claremorris,Degrees C,10.7,1981-10
4280,Average Maximum Temperature,1981M10,Clones,Degrees C,10.5,1981-10
4281,Average Maximum Temperature,1981M10,Cork Airport,Degrees C,11.3,1981-10
4282,Average Maximum Temperature,1981M10,Dublin Airport,Degrees C,11.2,1981-10
4283,Average Maximum Temperature,1981M10,Galway,Degrees C,11.2,1981-10
4284,Average Maximum Temperature,1981M10,Kilkenny,Degrees C,11.5,1981-10
4285,Average Maximum Temperature,1981M10,Malin Head,Degrees C,10.4,1981-10
4286,Average Maximum Temperature,1981M10,Mullingar,Degrees C,10.5,1981-10
4287,Average Maximum Temperature,1981M10,Roches Point,Degrees C,11.9,1981-10
4288,Average Maximum Temperature,1981M10,Rosslare,Degrees C,11.7,1981-10
4289,Average Maximum Temperature,1981M10,Shannon Airport,Degrees C,11.7,1981-10
4290,Average Maximum Temperature,1981M11,Belmullet,Degrees C,11.0,1981-11
4291,Average Maximum Temperature,1981M11,Birr,Degrees C,11.3,1981-11
4292,Average Maximum Temperature,1981M11,Valentia Observatory,Degrees C,12.3,1981-11
4293,Average Maximum Temperature,1981M11,Casement,Degrees C,11.2,1981-11
4294,Average Maximum Temperature,1981M11,Claremorris,Degrees C,10.8,1981-11
4295,Average Maximum Temperature,1981M11,Clones,Degrees C,10.6,1981-11
4296,Average Maximum Temperature,1981M11,Cork Airport,Degrees C,11.0,1981-11
4297,Average Maximum Temperature,1981M11,Dublin Airport,Degrees C,11.3,1981-11
4298,Average Maximum Temperature,1981M11,Galway,Degrees C,11.3,1981-11
4299,Average Maximum Temperature,1981M11,Kilkenny,Degrees C,11.5,1981-11
4300,Average Maximum Temperature,1981M11,Malin Head,Degrees C,10.7,1981-11
4301,Average Maximum Temperature,1981M11,Mullingar,Degrees C,10.7,1981-11
4302,Average Maximum Temperature,1981M11,Roches Point,Degrees C,11.5,1981-11
4303,Average Maximum Temperature,1981M11,Rosslare,Degrees C,11.4,1981-11
